ردیف,دسته اصلی,دسته ۲,دسته ۳,دسته ۴,دسته ۵,دسته ۶,دسته ۷
484,ورزشی,راکتی,علاقمندی,بدمینتون,,,
485,ورزشی,راکتی,علاقمندی,اسکواش,,,
486,ورزشی,راکتی,علاقمندی,سایر,,,
487,ورزشی,رزمی,علاقمندی,کاراته,,,
488,ورزشی,رزمی,علاقمندی,جودو,,,
489,ورزشی,رزمی,علاقمندی,تکواندو,,,
490,ورزشی,رزمی,علاقمندی,کونگ‌فو,,,
491,ورزشی,رزمی,علاقمندی,بوکس,,,
492,ورزشی,رزمی,علاقمندی,کشتی,,,
493,ورزشی,رزمی,علاقمندی,سایر,,,
494,ورزشی,سواری,علاقمندی,اتومبیل‌رانی,,,
495,ورزشی,سواری,علاقمندی,موتورسواری,,,
496,ورزشی,سواری,علاقمندی,دوچرخه‌سواری,,,
497,ورزشی,سواری,علاقمندی,اسب‌سواری,,,
498,ورزشی,سواری,علاقمندی,اسکی,,,
499,ورزشی,سواری,علاقمندی,سایر,,,
500,ورزشی,گروه ورزشی,علاقمندی,گروهی,,,
501,ورزشی,گروه ورزشی,علاقمندی,رزمی,,,
502,ورزشی,گروه ورزشی,علاقمندی,آبی,,,
503,ورزشی,گروه ورزشی,علاقمندی,سواری,,,
504,ورزشی,گروه ورزشی,علاقمندی,راکتی,,,
505,ورزشی,گروه ورزشی,علاقمندی,سایر,,,
506,ورزشی,گروهی,علاقمندی,فوتبال,,,
507,ورزشی,گروهی,علاقمندی,فوتسال,,,
508,ورزشی,گروهی,علاقمندی,بسکتبال,,,
509,ورزشی,گروهی,علاقمندی,والیبال,,,
510,ورزشی,گروهی,علاقمندی,هندبال,,,
511,ورزشی,گروهی,علاقمندی,سایر,,,
512,ورزشی,گروهی,فوتبال,لیگ برتر ایران,تیم,پرسپولیس,
513,ورزشی,گروهی,فوتبال,لیگ برتر ایران,تیم,استقلال,
514,ورزشی,گروهی,فوتبال,لیگ برتر ایران,تیم,تراکتورسازی,
515,ورزشی,گروهی,فوتبال,لیگ برتر ایران,تیم,سپاهان,
516,ورزشی,گروهی,فوتبال,لیگ برتر ایران,تیم,سایر,
517,ورزشی,گروهی,فوتبال,علاقمندی,لیگ برتر ایران,,
518,ورزشی,گروهی,فوتبال,علاقمندی,لالیگا اسپانیا,,
519,ورزشی,گروهی,فوتبال,علاقمندی,سری آ ایتالیا,,
520,ورزشی,گروهی,فوتبال,علاقمندی,بوندسلیگا آلمان,,
521,ورزشی,گروهی,فوتبال,علاقمندی,لیگ ۱ فرانسه,,
522,ورزشی,گروهی,فوتبال,علاقمندی,لیگ برتر انگلستان,,
523,ورزشی,گروهی,فوتبال,علاقمندی,سایر,,
